,LM,Model,C index
83,0.0,nnls,0.8595527657905061
84,0.0,nnls+boot,0.8689682228324833
85,0.0,rf,0.8585719890153001
86,0.0,rf+boot,0.8709297763828953
170,0.5,nnls,0.8669148441135411
171,0.5,nnls+boot,0.8641228478362029
172,0.5,rf,0.8331782224290367
173,0.5,rf+boot,0.84434620753839
257,1.0,nnls,0.854884246188594
258,1.0,nnls+boot,0.8560135516657256
259,1.0,rf,0.8421795595708639
260,1.0,rf+boot,0.8492377188029362
344,1.5,nnls,0.8431935669155658
345,1.5,nnls+boot,0.8408960367604825
346,1.5,rf,0.8205054566341183
347,1.5,rf+boot,0.847501435956347
431,2.0,nnls,0.8364627498485766
432,2.0,nnls+boot,0.8394912174439734
433,2.0,rf,0.791641429436705
434,2.0,rf+boot,0.8201090248334343
518,2.5,nnls,0.8370870870870871
519,2.5,nnls+boot,0.8355855855855856
520,2.5,rf,0.8194444444444444
521,2.5,rf+boot,0.8333333333333334
605,3.0,nnls,0.7687296416938111
606,3.0,nnls+boot,0.7795874049945711
607,3.0,rf,0.7660152008686211
608,3.0,rf+boot,0.7888165038002172
692,3.5,nnls,0.7942708333333334
693,3.5,nnls+boot,0.7942708333333334
694,3.5,rf,0.751953125
695,3.5,rf+boot,0.779296875
779,4.0,nnls,0.7869986168741355
780,4.0,nnls+boot,0.7897648686030428
781,4.0,rf,0.7911479944674965
782,4.0,rf+boot,0.8001383125864454
866,4.5,nnls,0.7792592592592592
867,4.5,nnls+boot,0.7851851851851852
868,4.5,rf,0.8059259259259259
869,4.5,rf+boot,0.7911111111111111
953,5.0,nnls,0.7233560090702947
954,5.0,nnls+boot,0.7256235827664399
955,5.0,rf,0.7267573696145124
956,5.0,rf+boot,0.7698412698412699
1040,5.5,nnls,0.6834170854271356
1041,5.5,nnls+boot,0.6934673366834171
1042,5.5,rf,0.6821608040201005
1043,5.5,rf+boot,0.7713567839195979
1127,6.0,nnls,0.8
1128,6.0,nnls+boot,0.8140845070422535
1129,6.0,rf,0.7774647887323943
1130,6.0,rf+boot,0.7563380281690141
1214,6.5,nnls,0.7090909090909091
1215,6.5,nnls+boot,0.7136363636363636
1216,6.5,rf,0.7045454545454546
1217,6.5,rf+boot,0.6840909090909091
1301,7.0,nnls,0.6556291390728477
1302,7.0,nnls+boot,0.6490066225165563
1303,7.0,rf,0.7185430463576159
1304,7.0,rf+boot,0.6390728476821192
1388,7.5,nnls,0.8333333333333334
1389,7.5,nnls+boot,0.8444444444444444
1390,7.5,rf,0.7555555555555555
1391,7.5,rf+boot,0.7111111111111111
1475,8.0,nnls,0.8444444444444444
1476,8.0,nnls+boot,0.8777777777777778
1477,8.0,rf,0.7055555555555556
1478,8.0,rf+boot,0.6888888888888889
1562,8.5,nnls,0.7647058823529411
1563,8.5,nnls+boot,0.8235294117647058
1564,8.5,rf,0.7450980392156863
1565,8.5,rf+boot,0.7156862745098039
1649,9.0,nnls,0.9411764705882353
1650,9.0,nnls+boot,0.9705882352941176
1651,9.0,rf,0.8823529411764706
1652,9.0,rf+boot,0.8529411764705882
1736,9.5,nnls,0.9523809523809523
1737,9.5,nnls+boot,0.9523809523809523
1738,9.5,rf,0.9523809523809523
1739,9.5,rf+boot,0.9047619047619048
1823,10.0,nnls,1.0
1824,10.0,nnls+boot,1.0
1825,10.0,rf,0.6666666666666666
1826,10.0,rf+boot,0.9047619047619048
